"Name","Team","Goals","Assists","Turnovers","Stops (Quaffle)","Beater Shifts","0 Bludgers","1 Bludger","2 Bludgers","BS","Stops (Beater)","Plus - Minus","Catches","Games Rostered"
"Gabriel Ferreira","OTT","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Gracie Johnson","MPLS","0","0","0","1","125","6","37","82","65.6%","6","18","0","9"
"Greg Bento","BOS","0","2","2","5","0","0","0","0","0%","0","0","0","9"
"Griffin Parr","NO","0","0","1","0","52","19","19","14","26.92%","3","-21","0","12"
"Gwen Pratt","DET","3","1","14","2","0","0","0","0","0%","0","0","0","9"
"Hailey Yhap","OTT","3","4","11","9","58","9","34","15","25.86%","1","-33","-4","12"
"Hannah Miller","IND","6","2","2","5","0","0","0","0","0%","0","0","0","9"
"Harold Advincula","IND","2","0","2","1","17","0","6","11","64.71%","1","4","0","6"
"Harry Greenhouse","BOS","9","10","16","3","0","0","0","0","0%","0","0","2","9"
"Hayden Boyes","LC","0","3","0","4","2","0","2","0","0.0%","0","2","0","3"
"Heather Farnan","WAS","0","0","0","0","92","6","22","37","40.22%","16","26","0","9"
"Husnain Ali","AUS","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Ian Crowe","SA","0","0","1","1","0","0","0","0","0%","0","0","0","0"
"Ian Scura","BOS","41","30","28","29","0","0","0","0","0%","0","0","0","12"
"Isaiah Thao","KC","0","0","0","0","1","0","1","0","0.0%","0","1","0","0"
"Jack Levy","DET","10","0","20","3","0","0","0","0","0%","0","0","0","9"
"Jack Moseley","ROC","13","4","11","2","3","2","1","0","0.0%","0","-2","0","6"
"Jack Sellner","MPLS","5","0","6","4","0","0","0","0","0%","0","0","0","9"
"Jack Stoll","KC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Jack Wang","AUS","0","0","0","0","84","6","17","42","50.0%","40","22","0","0"
"Jacob Tawney","LC","0","4","2","3","0","0","0","0","0%","0","0","0","0"
"Jaida Newhouse","AUS","0","1","0","3","0","0","0","0","0%","0","0","0","0"
"Jake Dalbey","MPLS","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Janko Gvozdenovic","NYC","23","8","9","15","0","0","0","0","0%","0","0","0","6"
"Jared Woodard","CLT","0","0","0","0","1","0","1","0","0.0%","0","-1","0","3"
"Jason Almquist","ROC","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Jason Ng","NYC","0","0","0","0","46","4","10","32","69.57%","12","19","0","3"
"Jason Plain","NO","1","1","1","0","0","0","0","0","0%","0","0","0","9"
"Jason Rosenberg","NYC","0","0","0","0","39","0","10","29","74.36%","5","19","0","3"
"Javi Tijerina","SA","0","0","0","0","20","4","6","10","50.0%","1","-5","0","0"
"Jay Hartnett","DET","0","0","0","0","23","5","10","6","26.09%","1","-4","0","6"
"Jay Stewart","SA","38","13","14","10","0","0","0","0","0%","0","0","5","6"
"Jayc Freeman","LC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Jeannette High","DET","3","1","13","3","0","0","0","0","0%","0","0","0","9"
"Jennifer Conard","CLE","0","0","0","0","24","3","14","7","29.17%","0","-7","0","6"
"Jeremy Burrows-Balka","TOR","0","9","0","2","0","0","0","0","0%","0","-1","0","0"
"Jess Tsang","TOR","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Jillian DeKiel","CLE","0","0","0","0","60","10","29","21","35.0%","3","-3","0","6"
"Jim Richert","IND","0","0","0","0","31","2","2","27","87.1%","4","10","0","9"
"Joanne Lam","TOR","1","4","4","4","0","0","0","0","0%","0","0","0","3"
"Joe Anderson","CLE","0","0","3","1","0","0","0","0","0%","0","0","0","3"
"Joe Goldberg","CLT","0","0","1","0","109","4","49","56","51.38%","14","-3","0","12"
"Joe Goulet","KC","10","1","4","4","0","0","0","0","0%","0","0","1","3"
"Joel Kline","DET","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Joey Galtelli","AUS","0","9","1","7","0","0","0","0","0%","0","-1","0","0"
"Joey Shea","IND","2","2","3","2","0","0","0","0","0%","0","0","0","6"
"John Alvarez Jr.","LC","0","0","0","0","68","10","39","18","26.47%","8","27","0","3"
"John Crispo","IND","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"John Gaffigan","CLE","16","21","18","20","0","0","0","0","0%","0","0","0","6"
"John Molina","AUS","0","0","1","0","20","0","4","12","60.0%","8","4","0","0"
"John Nicholson","OTT","3","2","1","1","4","2","1","1","25.0%","0","-3","0","6"
"John Sheridan","WAS","0","1","3","6","0","0","0","0","0%","0","0","0","3"
"John White","LC","12","2","10","7","0","0","0","0","0%","0","0","0","3"
"Jon Jackson","NYC","25","19","13","24","0","0","0","0","0%","0","0","0","6"
"Jordan Castillo","MPLS","0","2","1","2","0","0","0","0","0%","0","0","0","3"
"Jordan Smiley","BOS","4","1","8","2","0","0","0","0","0%","0","0","0","9"
"Jordi Sancho","CLT","0","0","0","0","37","2","16","19","51.35%","4","6","0","9"
"Jose Reyes","LC","0","0","0","0","0","0","0","0","0%","0","0","0","3"
"Joseph Latorcai","TOR","0","8","13","8","0","0","0","0","0%","0","0","0","3"
"Joseph Lombardi","ROC","8","6","6","11","0","0","0","0","0%","0","0","0","6"
"Josh Andrews","AUS","5","18","4","5","0","0","0","0","0%","0","-1","1","0"
"Josh Anglum","ROC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Josh Horchem","IND","1","8","5","8","0","0","0","0","0%","0","0","0","6"
"Josh Johnson","AUS","10","18","17","12","0","0","0","0","0%","0","0","0","0"
"Josh Tombline","ROC","0","0","0","0","64","0","36","25","39.06%","5","-3","0","6"
"Joshua Mansfield","NO","0","0","0","0","147","14","41","92","62.59%","27","-2","0","12"
"Joshua Zemke","MPLS","0","0","0","0","4","0","2","2","50.0%","0","3","0","3"
"Juan Acevedo","LC","5","1","4","1","0","0","0","0","0%","0","0","2","3"
"Juli Nuetzel","WAS","0","2","1","7","0","0","0","0","0%","0","0","0","6"
"Julia Baer","WAS","16","9","9","15","0","0","0","0","0%","0","0","0","9"
"Julia Lecompte","OTT","0","0","0","0","46","19","21","6","13.04%","4","-27","-22","6"
"Justin Barnard","ROC","1","0","1","1","29","0","14","15","51.72%","1","5","0","3"
"Justin Cole","WAS","25","24","18","19","0","0","0","0","0%","0","0","0","9"
"Justin Dewick","KC","0","0","0","0","28","0","10","18","64.29%","0","3","0","3"
"Justin Kieber-King","ROC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Justin Kraemer","WAS","5","0","4","2","0","0","0","0","0%","0","0","0","3"
"Justin Nunez","NO","7","3","12","10","0","0","0","0","0%","0","0","0","12"
"Justin Shimazu","NO","1","0","0","0","0","0","0","0","0%","0","0","0","6"
"Kaci Erwin","AUS","0","1","0","0","120","6","25","59","49.17%","57","30","0","0"
"Kaegan Maddelein","DET","1","10","21","3","0","0","0","0","0%","0","0","0","9"
"Kailey Fugate","IND","2","0","2","1","0","0","0","0","0%","0","0","0","9"
"Kameron Dropps","MPLS","5","1","9","6","0","0","0","0","0%","0","0","0","9"
"Kasye Bevers","AUS","3","4","2","5","0","0","0","0","0%","0","0","0","0"
"Kate Rues","KC","1","1","2","0","0","0","0","0","0%","0","0","0","3"
"Kate Timko","DET","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Katelyn Branstetter","KC","1","0","1","0","0","0","0","0","0%","0","0","0","3"
"Katherine Hayworth","SA","0","0","1","0","181","18","49","113","62.43%","13","24","0","6"
"Katryna Hicks","WAS","0","0","0","0","58","3","20","17","29.31%","10","15","0","6"
"Keaton Mallory","AUS","1","4","2","5","0","0","0","0","0%","0","0","0","0"
"Keegan Remy-Miller","WAS","0","0","0","0","28","0","3","25","89.29%","4","11","0","6"
"Keighlyn Johnson","KC","0","0","0","0","18","0","7","11","61.11%","0","-1","0","3"
"Kellan Cupid","NYC","0","0","0","0","79","8","28","43","54.43%","17","21","3","6"
"Kennedy Murphy","IND","5","6","3","6","0","0","0","0","0%","0","0","0","9"
"Kerri Donnelly","NYC","0","0","0","0","113","8","41","64","56.64%","15","35","0","6"
"Kevin Florimon","WAS","0","0","0","0","15","1","4","10","66.67%","1","8","0","3"
"Kevin Hayes","WAS","4","0","1","1","0","0","0","0","0%","0","0","0","3"
"Kevin Raber","LC","0","0","0","0","30","1","15","13","43.33%","2","-2","0","6"
